Round,Description,Total,Success,Error,Avg(ms),Max(ms),Min(ms),TotalTime(s),Throughput(tps),SuccessRate,ErrorRate
1,1,30,28,2,5,10,1,0.153,0.999994,0.933333,0.0666667
1,2,15,11,4,4,9,1,0.07,0.499997,0.733333,0.266667
1,3,10,9,1,5,9,1,0.059,0.333331,0.9,0.1
1,4,7,6,1,5,10,2,0.037,0.233332,0.857143,0.142857
1,5,6,4,2,5,9,1,0.03,0.199999,0.666667,0.333333
1,6,30,30,0,6,10,1,0.184,0.999994,1,0
1,7,15,15,0,5,10,1,0.081,0.499997,1,0
1,8,10,9,1,5,10,1,0.05,0.333331,0.9,0.1
1,9,7,6,1,6,10,2,0.043,0.233332,0.857143,0.142857
1,10,6,6,0,4,7,1,0.025,0.199999,1,0
1,11,30,25,5,5,10,1,0.168,0.999994,0.833333,0.166667
1,12,15,13,2,6,10,1,0.091,0.499997,0.866667,0.133333
1,13,10,8,2,6,10,2,0.063,0.333331,0.8,0.2
1,14,7,7,0,3,6,1,0.026,0.233332,1,0
1,15,6,5,1,5,9,3,0.032,0.199999,0.833333,0.166667
1,16,30,27,3,4,9,1,0.132,0.999994,0.9,0.1
1,17,15,15,0,5,10,1,0.077,0.499997,1,0
1,18,10,10,0,5,10,1,0.057,0.333331,1,0
1,19,7,7,0,5,9,2,0.037,0.233332,1,0
1,20,6,6,0,7,10,5,0.045,0.199999,1,0
1,21,30,26,4,5,10,1,0.177,0.999994,0.866667,0.133333
1,22,15,14,1,4,10,1,0.074,0.499997,0.933333,0.0666667
1,23,10,7,3,4,9,1,0.048,0.333331,0.7,0.3
1,24,7,5,2,4,9,1,0.03,0.233332,0.714286,0.285714
1,25,6,6,0,5,9,2,0.033,0.199999,1,0
1,26,30,28,2,5,10,1,0.164,0.999994,0.933333,0.0666667
1,27,15,12,3,7,10,2,0.108,0.499997,0.8,0.2
1,28,10,8,2,3,6,1,0.035,0.333331,0.8,0.2
1,29,7,7,0,6,9,1,0.045,0.233332,1,0
1,30,6,5,1,5,10,1,0.034,0.199999,0.833333,0.166667
1,31,30,29,1,5,10,1,0.159,0.999994,0.966667,0.0333333
1,32,15,13,2,5,10,1,0.084,0.499997,0.866667,0.133333
1,33,10,7,3,6,10,2,0.065,0.333331,0.7,0.3
1,34,7,7,0,4,7,1,0.032,0.233332,1,0
1,35,6,5,1,6,10,3,0.039,0.199999,0.833333,0.166667
1,36,30,24,6,5,10,1,0.157,0.999994,0.8,0.2
1,37,15,14,1,5,9,1,0.078,0.499997,0.933333,0.0666667
1,38,10,9,1,4,9,1,0.045,0.333331,0.9,0.1
1,39,7,6,1,5,9,3,0.036,0.233332,0.857143,0.142857
1,40,6,5,1,4,9,1,0.025,0.199999,0.833333,0.166667
1,41,30,27,3,5,10,1,0.165,0.999994,0.9,0.1
1,42,15,14,1,6,10,2,0.092,0.499997,0.933333,0.0666667
1,43,10,9,1,4,9,2,0.046,0.333331,0.9,0.1
1,44,7,6,1,6,9,3,0.042,0.233332,0.857143,0.142857
1,45,6,4,2,4,7,1,0.024,0.199999,0.666667,0.333333
1,46,30,27,3,6,10,1,0.186,0.999994,0.9,0.1
1,47,15,13,2,5,10,1,0.088,0.499997,0.866667,0.133333
1,48,10,9,1,5,8,2,0.052,0.333331,0.9,0.1
1,49,7,6,1,6,9,2,0.047,0.233332,0.857143,0.142857
1,50,6,5,1,4,9,1,0.029,0.199999,0.833333,0.166667
1,51,30,28,2,5,10,1,0.165,0.999994,0.933333,0.0666667
1,52,15,13,2,6,10,2,0.09,0.499997,0.866667,0.133333
1,53,10,8,2,4,9,1,0.045,0.333331,0.8,0.2
1,54,7,6,1,4,10,2,0.03,0.233332,0.857143,0.142857
1,55,6,6,0,5,10,2,0.035,0.199999,1,0
1,56,30,29,1,5,10,1,0.155,0.999994,0.966667,0.0333333
1,57,15,13,2,5,10,1,0.08,0.499997,0.866667,0.133333
1,58,10,8,2,3,9,1,0.039,0.333331,0.8,0.2
1,59,7,6,1,4,10,1,0.031,0.233332,0.857143,0.142857
1,60,6,6,0,4,7,1,0.029,0.199999,1,0
1,61,30,25,5,6,10,1,0.194,0.999994,0.833333,0.166667
1,62,15,14,1,6,10,2,0.099,0.499997,0.933333,0.0666667
1,63,10,9,1,3,10,1,0.034,0.333331,0.9,0.1
1,64,7,6,1,5,10,1,0.039,0.233332,0.857143,0.142857
1,65,6,6,0,4,6,1,0.024,0.199999,1,0
1,66,30,28,2,6,10,1,0.182,0.999994,0.933333,0.0666667
1,67,15,13,2,5,10,1,0.082,0.499997,0.866667,0.133333
1,68,10,10,0,6,10,1,0.065,0.333331,1,0
1,69,7,5,2,3,7,1,0.026,0.233332,0.714286,0.285714
1,70,6,6,0,6,10,2,0.037,0.199999,1,0
1,71,30,29,1,6,10,2,0.182,0.999994,0.966667,0.0333333
1,72,15,11,4,5,9,1,0.079,0.499997,0.733333,0.266667
1,73,10,9,1,5,10,1,0.059,0.333331,0.9,0.1
1,74,7,6,1,7,10,4,0.052,0.233332,0.857143,0.142857
1,75,6,3,3,4,9,1,0.028,0.199999,0.5,0.5
1,76,30,28,2,6,10,1,0.185,0.999994,0.933333,0.0666667
1,77,15,13,2,5,10,2,0.085,0.499997,0.866667,0.133333
1,78,10,8,2,6,10,1,0.063,0.333331,0.8,0.2
1,79,7,5,2,6,9,2,0.045,0.233332,0.714286,0.285714
1,80,6,6,0,4,9,1,0.027,0.199999,1,0
1,81,30,29,1,5,10,1,0.179,0.999994,0.966667,0.0333333
1,82,15,15,0,5,10,1,0.085,0.499997,1,0
1,83,10,10,0,5,10,1,0.051,0.333331,1,0
1,84,7,6,1,5,9,1,0.035,0.233332,0.857143,0.142857
1,85,6,6,0,5,10,3,0.033,0.199999,1,0
1,86,30,24,6,6,10,2,0.201,0.999994,0.8,0.2
1,87,15,12,3,4,10,1,0.066,0.499997,0.8,0.2
1,88,10,9,1,6,10,1,0.061,0.333331,0.9,0.1
1,89,7,7,0,3,7,1,0.026,0.233332,1,0
1,90,6,6,0,5,7,2,0.031,0.199999,1,0
1,91,30,28,2,5,10,1,0.177,0.999994,0.933333,0.0666667
1,92,15,13,2,4,10,1,0.068,0.499997,0.866667,0.133333
1,93,10,10,0,6,10,2,0.069,0.333331,1,0
1,94,7,6,1,4,9,1,0.033,0.233332,0.857143,0.142857
1,95,6,3,3,5,9,2,0.034,0.199999,0.5,0.5
1,96,30,29,1,5,10,1,0.174,0.999994,0.966667,0.0333333
1,97,15,14,1,6,10,1,0.09,0.499997,0.933333,0.0666667
1,98,10,9,1,4,8,1,0.041,0.333331,0.9,0.1
1,99,7,7,0,4,8,2,0.031,0.233332,1,0
1,100,6,4,2,5,10,3,0.034,0.199999,0.666667,0.333333
1,101,30,28,2,4,10,1,0.143,0.999994,0.933333,0.0666667
1,102,15,14,1,6,10,1,0.094,0.499997,0.933333,0.0666667
1,103,10,9,1,5,9,1,0.052,0.333331,0.9,0.1
1,104,7,7,0,5,8,1,0.036,0.233332,1,0
1,105,6,6,0,7,10,3,0.045,0.199999,1,0
1,106,30,26,4,5,10,1,0.156,0.999994,0.866667,0.133333
1,107,15,15,0,5,10,1,0.083,0.499997,1,0
1,108,10,9,1,6,10,1,0.061,0.333331,0.9,0.1
1,109,7,6,1,4,8,2,0.031,0.233332,0.857143,0.142857
1,110,6,4,2,5,10,1,0.031,0.199999,0.666667,0.333333
1,111,30,28,2,4,10,1,0.148,0.999994,0.933333,0.0666667
1,112,15,14,1,5,10,1,0.084,0.499997,0.933333,0.0666667
1,113,10,10,0,6,10,4,0.06,0.333331,1,0
1,114,7,7,0,6,9,2,0.044,0.233332,1,0
1,115,6,5,1,6,10,1,0.037,0.199999,0.833333,0.166667
1,116,30,28,2,5,10,1,0.152,0.999994,0.933333,0.0666667
1,117,15,14,1,5,10,1,0.082,0.499997,0.933333,0.0666667
1,118,10,9,1,3,8,1,0.038,0.333331,0.9,0.1
1,119,7,5,2,4,9,1,0.033,0.233332,0.714286,0.285714
1,120,6,5,1,4,7,1,0.026,0.199999,0.833333,0.166667
1,121,30,27,3,5,10,1,0.153,0.999994,0.9,0.1
1,122,15,14,1,5,10,1,0.08,0.499997,0.933333,0.0666667
1,123,10,8,2,3,9,1,0.037,0.333331,0.8,0.2
1,124,7,5,2,6,10,1,0.044,0.233332,0.714286,0.285714
1,125,6,5,1,5,10,3,0.035,0.199999,0.833333,0.166667
1,126,30,24,6,4,9,1,0.132,0.999994,0.8,0.2
1,127,15,15,0,6,10,2,0.1,0.499997,1,0
1,128,10,10,0,5,9,1,0.051,0.333331,1,0
1,129,7,6,1,5,10,2,0.037,0.233332,0.857143,0.142857
1,130,6,6,0,7,9,5,0.042,0.199999,1,0
1,131,30,27,3,5,10,1,0.175,0.999994,0.9,0.1
1,132,15,12,3,5,10,1,0.087,0.499997,0.8,0.2
1,133,10,10,0,6,9,3,0.067,0.333331,1,0
1,134,7,7,0,5,8,3,0.036,0.233332,1,0
1,135,6,6,0,7,10,3,0.045,0.199999,1,0
1,136,30,28,2,4,10,1,0.147,0.999994,0.933333,0.0666667
1,137,15,12,3,4,10,1,0.063,0.499997,0.8,0.2
1,138,10,9,1,4,10,1,0.047,0.333331,0.9,0.1
1,139,7,4,3,6,10,1,0.045,0.233332,0.571429,0.428571
1,140,6,6,0,5,10,1,0.033,0.199999,1,0
1,141,30,29,1,5,10,1,0.158,0.999994,0.966667,0.0333333
1,142,15,15,0,4,10,1,0.065,0.499997,1,0
1,143,10,9,1,4,9,1,0.049,0.333331,0.9,0.1
1,144,7,6,1,4,10,1,0.032,0.233332,0.857143,0.142857
1,145,6,5,1,6,9,4,0.036,0.199999,0.833333,0.166667
1,146,30,25,5,5,10,1,0.16,0.999994,0.833333,0.166667
1,147,15,13,2,6,10,1,0.096,0.499997,0.866667,0.133333
1,148,10,8,2,7,10,1,0.078,0.333331,0.8,0.2
1,149,7,6,1,4,9,2,0.028,0.233332,0.857143,0.142857
1,150,6,5,1,5,10,1,0.031,0.199999,0.833333,0.166667
1,151,30,26,4,4,10,1,0.146,0.999994,0.866667,0.133333
1,152,15,12,3,5,10,1,0.084,0.499997,0.8,0.2
1,153,10,8,2,5,10,2,0.051,0.333331,0.8,0.2
1,154,7,6,1,6,10,1,0.042,0.233332,0.857143,0.142857
1,155,6,6,0,6,10,2,0.04,0.199999,1,0
1,156,30,28,2,5,10,1,0.152,0.999994,0.933333,0.0666667
1,157,15,14,1,4,9,1,0.07,0.499997,0.933333,0.0666667
1,158,10,8,2,4,8,1,0.048,0.333331,0.8,0.2
1,159,7,4,3,4,8,2,0.032,0.233332,0.571429,0.428571
1,160,6,5,1,4,7,3,0.028,0.199999,0.833333,0.166667
1,161,30,28,2,6,10,1,0.184,0.999994,0.933333,0.0666667
1,162,15,14,1,5,10,1,0.077,0.499997,0.933333,0.0666667
1,163,10,9,1,4,10,1,0.049,0.333331,0.9,0.1
1,164,7,7,0,6,9,4,0.042,0.233332,1,0
1,165,6,6,0,5,8,3,0.03,0.199999,1,0
1,166,30,25,5,5,10,1,0.151,0.999994,0.833333,0.166667
1,167,15,14,1,5,10,1,0.085,0.499997,0.933333,0.0666667
1,168,10,10,0,6,10,1,0.069,0.333331,1,0
1,169,7,7,0,6,10,1,0.046,0.233332,1,0
1,170,6,5,1,5,9,2,0.033,0.199999,0.833333,0.166667
1,171,30,26,4,5,10,1,0.166,0.999994,0.866667,0.133333
1,172,15,14,1,5,10,2,0.077,0.499997,0.933333,0.0666667
1,173,10,10,0,4,10,2,0.049,0.333331,1,0
1,174,7,7,0,5,10,1,0.039,0.233332,1,0
1,175,6,6,0,5,10,2,0.034,0.199999,1,0
1,176,30,26,4,4,10,1,0.149,0.999994,0.866667,0.133333
1,177,15,15,0,5,10,1,0.075,0.499997,1,0
1,178,10,8,2,7,10,2,0.076,0.333331,0.8,0.2
1,179,7,6,1,6,10,1,0.044,0.233332,0.857143,0.142857
1,180,6,6,0,6,8,2,0.038,0.199999,1,0
1,181,30,29,1,5,10,1,0.164,0.999994,0.966667,0.0333333
1,182,15,12,3,5,9,1,0.076,0.499997,0.8,0.2
1,183,10,10,0,5,10,1,0.059,0.333331,1,0
1,184,7,6,1,4,10,1,0.033,0.233332,0.857143,0.142857
1,185,6,6,0,5,10,2,0.032,0.199999,1,0
1,186,30,26,4,5,10,1,0.157,0.999994,0.866667,0.133333
1,187,15,13,2,5,9,1,0.077,0.499997,0.866667,0.133333
1,188,10,10,0,6,10,2,0.066,0.333331,1,0
1,189,7,7,0,5,9,1,0.037,0.233332,1,0
1,190,6,5,1,6,9,2,0.041,0.199999,0.833333,0.166667
1,191,30,27,3,5,10,1,0.173,0.999994,0.9,0.1
1,192,15,12,3,6,10,1,0.099,0.499997,0.8,0.2
1,193,10,10,0,5,10,2,0.059,0.333331,1,0
1,194,7,4,3,7,10,3,0.053,0.233332,0.571429,0.428571
1,195,6,6,0,4,9,1,0.028,0.199999,1,0
1,196,30,27,3,5,10,1,0.166,0.999994,0.9,0.1
1,197,15,11,4,6,10,1,0.096,0.499997,0.733333,0.266667
1,198,10,10,0,5,8,1,0.054,0.333331,1,0
1,199,7,7,0,6,7,5,0.042,0.233332,1,0
1,200,6,5,1,3,7,1,0.022,0.199999,0.833333,0.166667
1,201,30,25,5,4,10,1,0.148,0.999994,0.833333,0.166667
1,202,15,13,2,5,10,1,0.089,0.499997,0.866667,0.133333
1,203,10,9,1,5,10,3,0.059,0.333331,0.9,0.1
1,204,7,7,0,5,10,1,0.039,0.233332,1,0
1,205,6,6,0,6,10,3,0.038,0.199999,1,0
1,206,30,27,3,5,10,1,0.178,0.999994,0.9,0.1
1,207,15,15,0,5,10,1,0.075,0.499997,1,0
1,208,10,8,2,6,10,2,0.063,0.333331,0.8,0.2
1,209,7,6,1,7,10,2,0.049,0.233332,0.857143,0.142857
1,210,6,4,2,6,10,3,0.04,0.199999,0.666667,0.333333
1,211,30,28,2,5,10,1,0.15,0.999994,0.933333,0.0666667
1,212,15,12,3,4,10,1,0.07,0.499997,0.8,0.2
1,213,10,9,1,7,10,1,0.074,0.333331,0.9,0.1
1,214,7,7,0,6,10,2,0.042,0.233332,1,0
1,215,6,5,1,5,10,1,0.032,0.199999,0.833333,0.166667
1,216,30,27,3,5,10,1,0.171,0.999994,0.9,0.1
1,217,15,14,1,6,10,1,0.098,0.499997,0.933333,0.0666667
1,218,10,10,0,5,10,1,0.058,0.333331,1,0
1,219,7,6,1,5,9,1,0.036,0.233332,0.857143,0.142857
1,220,6,5,1,5,10,1,0.032,0.199999,0.833333,0.166667
1,221,30,29,1,4,10,1,0.149,0.999994,0.966667,0.0333333
1,222,15,12,3,5,10,1,0.088,0.499997,0.8,0.2
1,223,10,9,1,5,10,1,0.053,0.333331,0.9,0.1
1,224,7,5,2,6,10,1,0.043,0.233332,0.714286,0.285714
1,225,6,4,2,4,9,2,0.029,0.199999,0.666667,0.333333
1,226,30,28,2,5,10,1,0.168,0.999994,0.933333,0.0666667
1,227,15,14,1,5,9,1,0.079,0.499997,0.933333,0.0666667
1,228,10,7,3,5,9,1,0.053,0.333331,0.7,0.3
1,229,7,7,0,4,9,1,0.031,0.233332,1,0
1,230,6,6,0,4,8,3,0.027,0.199999,1,0
1,231,30,25,5,5,10,1,0.164,0.999994,0.833333,0.166667
1,232,15,15,0,5,10,1,0.089,0.499997,1,0
1,233,10,10,0,6,10,1,0.064,0.333331,1,0
1,234,7,6,1,3,6,2,0.023,0.233332,0.857143,0.142857
1,235,6,3,3,5,8,1,0.035,0.199999,0.5,0.5
1,236,30,27,3,4,10,1,0.146,0.999994,0.9,0.1
1,237,15,12,3,3,8,1,0.056,0.499997,0.8,0.2
1,238,10,9,1,5,9,3,0.057,0.333331,0.9,0.1
1,239,7,6,1,6,10,2,0.046,0.233332,0.857143,0.142857
1,240,6,6,0,4,7,1,0.025,0.199999,1,0
1,241,30,27,3,6,10,2,0.197,0.999994,0.9,0.1
1,242,15,15,0,5,10,1,0.084,0.499997,1,0
1,243,10,8,2,5,10,1,0.055,0.333331,0.8,0.2
1,244,7,6,1,3,6,2,0.023,0.233332,0.857143,0.142857
1,245,6,6,0,5,9,2,0.033,0.199999,1,0
1,246,30,27,3,5,10,1,0.165,0.999994,0.9,0.1
1,247,15,15,0,6,10,4,0.09,0.499997,1,0
1,248,10,10,0,6,10,2,0.065,0.333331,1,0
1,249,7,5,2,6,10,1,0.043,0.233332,0.714286,0.285714
1,250,6,5,1,5,10,2,0.033,0.199999,0.833333,0.166667
1,251,30,27,3,5,10,1,0.169,0.999994,0.9,0.1
1,252,15,13,2,5,10,1,0.088,0.499997,0.866667,0.133333
1,253,10,7,3,6,10,3,0.067,0.333331,0.7,0.3
1,254,7,7,0,3,8,1,0.027,0.233332,1,0
1,255,6,5,1,5,8,1,0.035,0.199999,0.833333,0.166667
1,256,30,26,4,4,10,1,0.131,0.999994,0.866667,0.133333
1,257,15,14,1,5,9,1,0.079,0.499997,0.933333,0.0666667
1,258,10,9,1,6,10,1,0.064,0.333331,0.9,0.1
1,259,7,7,0,5,10,1,0.037,0.233332,1,0
1,260,6,6,0,6,9,1,0.041,0.199999,1,0
1,261,30,27,3,5,10,1,0.161,0.999994,0.9,0.1
1,262,15,14,1,5,9,1,0.079,0.499997,0.933333,0.0666667
1,263,10,10,0,6,10,1,0.062,0.333331,1,0
1,264,7,5,2,6,9,1,0.042,0.233332,0.714286,0.285714
1,265,6,6,0,5,8,1,0.03,0.199999,1,0
1,266,30,26,4,6,10,1,0.195,0.999994,0.866667,0.133333
1,267,15,15,0,5,10,1,0.089,0.499997,1,0
1,268,10,10,0,5,10,1,0.051,0.333331,1,0
1,269,7,7,0,5,9,2,0.037,0.233332,1,0
1,270,6,5,1,4,9,1,0.029,0.199999,0.833333,0.166667
1,271,30,27,3,5,10,1,0.169,0.999994,0.9,0.1
1,272,15,12,3,5,10,1,0.081,0.499997,0.8,0.2
1,273,10,9,1,5,10,1,0.05,0.333331,0.9,0.1
1,274,7,7,0,3,9,1,0.025,0.233332,1,0
1,275,6,6,0,6,9,5,0.04,0.199999,1,0
1,276,30,27,3,4,10,1,0.143,0.999994,0.9,0.1
1,277,15,15,0,5,10,1,0.078,0.499997,1,0
1,278,10,10,0,6,10,1,0.062,0.333331,1,0
1,279,7,6,1,5,10,1,0.039,0.233332,0.857143,0.142857
1,280,6,6,0,6,10,2,0.036,0.199999,1,0
1,281,30,23,7,5,10,1,0.156,0.999994,0.766667,0.233333
1,282,15,15,0,5,10,1,0.075,0.499997,1,0
1,283,10,7,3,5,10,1,0.053,0.333331,0.7,0.3
1,284,7,7,0,6,10,2,0.045,0.233332,1,0
1,285,6,6,0,3,7,1,0.021,0.199999,1,0
1,286,30,27,3,5,10,1,0.177,0.999994,0.9,0.1
1,287,15,13,2,5,10,2,0.089,0.499997,0.866667,0.133333
1,288,10,10,0,4,9,1,0.044,0.333331,1,0
1,289,7,5,2,4,8,2,0.034,0.233332,0.714286,0.285714
1,290,6,6,0,5,9,1,0.033,0.199999,1,0
1,291,30,29,1,5,10,1,0.177,0.999994,0.966667,0.0333333
1,292,15,15,0,6,10,3,0.098,0.499997,1,0
1,293,10,10,0,5,10,1,0.054,0.333331,1,0
1,294,7,6,1,4,10,1,0.032,0.233332,0.857143,0.142857
1,295,6,6,0,5,7,3,0.031,0.199999,1,0
1,296,30,24,6,4,10,1,0.149,0.999994,0.8,0.2
1,297,15,12,3,6,10,1,0.092,0.499997,0.8,0.2
1,298,10,9,1,5,8,2,0.052,0.333331,0.9,0.1
1,299,7,7,0,3,7,1,0.026,0.233332,1,0
1,300,6,6,0,4,8,1,0.026,0.199999,1,0
1,301,30,28,2,4,10,1,0.139,0.999994,0.933333,0.0666667
1,302,15,13,2,5,10,1,0.079,0.499997,0.866667,0.133333
1,303,10,9,1,7,10,2,0.07,0.333331,0.9,0.1
1,304,7,6,1,6,10,1,0.045,0.233332,0.857143,0.142857
1,305,6,6,0,5,10,1,0.033,0.199999,1,0
1,306,30,28,2,5,10,1,0.16,0.999994,0.933333,0.0666667
1,307,15,14,1,5,10,1,0.089,0.499997,0.933333,0.0666667
1,308,10,8,2,5,10,2,0.057,0.333331,0.8,0.2
1,309,7,6,1,6,10,2,0.045,0.233332,0.857143,0.142857
1,310,6,4,2,4,8,1,0.026,0.199999,0.666667,0.333333
1,311,30,26,4,5,10,1,0.151,0.999994,0.866667,0.133333
1,312,15,12,3,4,10,1,0.074,0.499997,0.8,0.2
1,313,10,10,0,5,10,1,0.057,0.333331,1,0
1,314,7,7,0,6,10,3,0.046,0.233332,1,0
1,315,6,6,0,5,10,2,0.03,0.199999,1,0
1,316,30,26,4,5,10,1,0.174,0.999994,0.866667,0.133333
1,317,15,14,1,4,9,1,0.073,0.499997,0.933333,0.0666667
1,318,10,10,0,3,10,1,0.038,0.333331,1,0
1,319,7,5,2,4,7,1,0.034,0.233332,0.714286,0.285714
1,320,6,6,0,6,10,2,0.041,0.199999,1,0
1,321,30,25,5,4,10,1,0.148,0.999994,0.833333,0.166667
1,322,15,13,2,5,10,2,0.081,0.499997,0.866667,0.133333
1,323,10,9,1,5,10,2,0.058,0.333331,0.9,0.1
1,324,7,7,0,4,9,1,0.032,0.233332,1,0
1,325,6,4,2,4,10,1,0.029,0.199999,0.666667,0.333333
1,326,30,26,4,5,10,1,0.165,0.999994,0.866667,0.133333
