轮次编号,任务描述,总执行次数,成功次数,失败次数,平均耗时(ms),最大耗时(ms),最小耗时(ms),总耗时(s),吞吐量(tps),成功率,错误率
1,1,25,25,0,5,10,1,0.148,0.833321,1,0
1,2,16,16,0,5,11,1,0.095,0.533325,1,0
1,3,10,9,1,7,10,3,0.071,0.333328,0.9,0.1
1,4,8,7,1,5,10,1,0.046,0.266663,0.875,0.125
1,5,6,5,1,5,7,2,0.03,0.199997,0.833333,0.166667
1,6,18,16,2,5,9,1,0.1,0.599991,0.888889,0.111111
1,7,16,16,0,5,12,1,0.093,0.533325,1,0
1,8,10,9,1,6,11,1,0.061,0.333328,0.9,0.1
1,9,8,8,0,5,8,3,0.041,0.266663,1,0
1,10,6,4,2,4,9,1,0.025,0.199997,0.666667,0.333333
1,11,19,18,1,5,10,1,0.103,0.633324,0.947368,0.0526316
1,12,16,14,2,5,10,1,0.092,0.533325,0.875,0.125
1,13,10,9,1,7,10,2,0.07,0.333328,0.9,0.1
1,14,8,6,2,4,13,2,0.039,0.266663,0.75,0.25
1,15,6,6,0,5,11,1,0.034,0.199997,1,0
1,16,18,16,2,5,10,1,0.091,0.599991,0.888889,0.111111
1,17,15,15,0,5,8,1,0.079,0.499992,1,0
1,18,10,9,1,6,11,1,0.064,0.333328,0.9,0.1
1,19,8,7,1,5,10,4,0.046,0.266663,0.875,0.125
1,20,6,5,1,7,10,3,0.043,0.199997,0.833333,0.166667
1,21,19,18,1,5,10,1,0.11,0.633324,0.947368,0.0526316
1,22,16,16,0,6,12,2,0.101,0.533325,1,0
1,23,10,10,0,7,13,2,0.076,0.333328,1,0
1,24,8,6,2,8,11,7,0.067,0.266663,0.75,0.25
1,25,6,6,0,7,14,4,0.046,0.199997,1,0
1,26,23,21,2,4,10,1,0.107,0.766655,0.913043,0.0869565
1,27,16,14,2,6,10,1,0.098,0.533325,0.875,0.125
1,28,10,8,2,7,11,1,0.074,0.333328,0.8,0.2
1,29,8,7,1,5,11,2,0.044,0.266663,0.875,0.125
1,30,6,4,2,6,9,2,0.037,0.199997,0.666667,0.333333
1,31,23,22,1,6,11,2,0.139,0.766655,0.956522,0.0434783
1,32,13,11,2,6,12,2,0.079,0.433327,0.846154,0.153846
1,33,10,10,0,4,9,2,0.048,0.333328,1,0
1,34,8,7,1,7,11,4,0.061,0.266663,0.875,0.125
1,35,6,6,0,4,8,1,0.029,0.199997,1,0
1,36,18,17,1,5,11,2,0.106,0.599991,0.944444,0.0555556
1,37,16,15,1,5,10,2,0.09,0.533325,0.9375,0.0625
1,38,10,9,1,5,10,2,0.059,0.333328,0.9,0.1
1,39,8,7,1,9,10,6,0.073,0.266663,0.875,0.125
1,40,6,6,0,6,10,2,0.037,0.199997,1,0
1,41,19,16,3,5,11,1,0.101,0.633324,0.842105,0.157895
1,42,16,16,0,6,10,1,0.1,0.533325,1,0
1,43,10,6,4,4,9,1,0.049,0.333328,0.6,0.4
1,44,8,8,0,6,8,3,0.048,0.266663,1,0
1,45,6,5,1,4,9,2,0.029,0.199997,0.833333,0.166667
1,46,19,17,2,6,12,1,0.12,0.633324,0.894737,0.105263
1,47,16,15,1,5,12,1,0.093,0.533325,0.9375,0.0625
1,48,10,9,1,7,14,2,0.075,0.333328,0.9,0.1
1,49,8,8,0,5,11,2,0.04,0.266663,1,0
1,50,6,6,0,7,11,4,0.045,0.199997,1,0
1,51,22,21,1,7,12,1,0.156,0.733322,0.954545,0.0454545
1,52,16,16,0,4,9,1,0.075,0.533325,1,0
1,53,10,7,3,6,10,3,0.065,0.333328,0.7,0.3
