轮次编号,总执行次数,成功次数,失败次数,平均耗时(ms),最大耗时(ms),最小耗时(ms),总耗时(s),吞吐量(tps),成功率,错误率
1,35089,31674,3415,30.5164,461,1,1093.56,32.0869453893705,90.26760523240903,9.732394767590984
2,25316,22750,2566,71.0102,853,1,1699.4679999999998,14.896426411088648,89.86411755411598,10.135882445884025
3,11969,10774,1195,89.40084925690022,671,1,1067.312,11.21415293747283,90.0158743420503,9.984125657949704
4,8609,7733,876,93.50706509149873,837,1,809.988,10.628552521765753,89.82460216052968,10.175397839470323
5,6107,5498,609,91.01263264274887,740,1,556.2470000000001,10.978935616731414,90.0278369084657,9.972163091534304
6,4792,4276,516,93.55937052932761,659,1,451.137,10.62205050793883,89.23205342237061,10.767946577629383
7,3775,3401,374,94.2960505529226,574,1,354.611,10.64546785068709,90.09271523178808,9.90728476821192
8,2681,2400,281,92.75606117120478,633,1,248.679,10.780966627660558,89.51883625512869,10.481163744871317
9,2385,2142,243,89.9748427672956,661,1,214.59,11.114217810708793,89.81132075471699,10.18867924528302
10,1695,1537,158,92.12212389380531,564,1,156.147,10.855155718649735,90.67846607669617,9.321533923303834
